V,Thrust,diameter,pitch,rpm
97,1852.657426,1.6,20,2500
47,947.3527836,2.2,26,1100
15,40.91542775,1.6,34,500
29,4882.24234,2.2,18,2700
67,2876.039483,2.002,30,2700
79,4381.656138,2.2,12,2100
77,6128.01682,2.002,4,2900
71,614.329078,2.002,38,1100
59,2156.240642,2.002,38,2900
45,201.6067717,1.6,38,1100
15,1872.925255,2.002,10,1900
23,1766.316546,2.002,16,1900
75,1125.368722,1.8,32,1900
13,236.6232923,2.002,20,700
63,545.4472678,2.002,38,1100
1,1371.346737,1.6,12,2700
63,465.6479124,1.6,10,1300
97,212.6335664,1.8,50,500
95,694.8485001,1.8,36,900
1,189.6397834,2.002,40,1100
21,526.5187163,1.6,22,1700
97,3310.409328,1.8,2,2700
19,801.9436516,2.2,48,2700
37,4781.18774,2.2,2,2300
31,1946.059688,2.002,28,2300
31,773.6203231,2.2,12,900
15,2092.111497,2.002,2,1900
77,566.9725509,1.8,44,1900
25,500.9546964,1.8,24,1300
77,5167.154645,2.002,6,2700
39,473.2542908,2.2,40,1100
73,3596.647847,2.002,4,2100
65,46.94096464,1.6,28,500
41,1968.028345,2.2,12,1500
77,2422.425669,1.6,8,2700
47,219.8924606,1.6,46,1900
87,6885.406814,2.2,0,2500
29,460.3843694,1.6,8,1300
91,1121.765073,1.8,38,2100
73,530.8815802,2.2,40,700
55,459.621617,1.6,26,1300
21,1105.409163,1.6,30,2900
81,362.0996744,1.8,44,1100
15,720.2569326,2.002,4,1100
71,2754.525721,2.002,28,2500
95,159.0895863,1.6,50,700
95,625.3303547,2.002,42,900
95,43.34067899,1.8,8,1300
55,420.0441498,1.6,40,1900
15,564.1707867,2.002,30,1300
67,907.2827146,2.002,4,1300
15,6155.798584,2.2,0,2700
61,4830.993452,2.2,28,2900
93,1061.369195,2.002,36,1300
33,2314.816869,2.002,14,2100
9,277.1901485,1.6,6,1100
65,2786.36871,2.2,38,2700
53,188.3153529,2.002,48,1100
