V,Thrust,diameter,pitch,rpm
50.8,2.035,0.3302,10.0,6000
145.3,12.72,0.22225,8.0,25000
123.8,33.266,0.3556,12.0,16000
60.6,4.259,0.23495,5.5,17000
93.9,4.711,0.2413,5.0,19000
49.6,1.563,0.23495,5.25,12000
171.9,4.617,0.22225,8.25,21000
41.7,1.795,0.1016,4.5,33000
140.2,15.19,0.3683,14.0,12000
59.8,43.719,0.4826,10.0,11000
0.0,12.15,0.4318,8.0,7000
63.5,15.455,0.4318,8.0,10000
137.8,4.535,0.13208,6.0,39000
52.3,2.117,0.2286,5.0,13000
59.4,1.66,0.11938,4.2,29000
110.8,18.864,0.3556,13.5,12000
43.7,3.991,0.3556,6.0,8000
28.2,2.879,0.4318,10.0,4000
84.0,4.626,0.22225,7.5,17000
101.6,11.282,0.5334,12.0,8000
7.1,2.514,0.12065,4.5,36000
49.8,3.432,0.127,3.0,37000
3.8,23.817,0.45974,11.0,8000
74.5,2.987,0.127,4.0,29000
77.7,4.27,0.381,12.0,7000
50.7,12.26,0.381,10.0,9000
17.6,25.595,0.4318,10.0,10000
6.2,4.336,0.19812,4.0,18000
62.5,1.163,0.1397,2.5,28000
83.2,6.769,0.127,4.0,39000
0.0,3.579,0.22225,9.25,15000
50.8,10.321,0.2286,8.0,19000
0.0,1.537,0.2286,7.0,8000
22.6,5.687,0.1524,4.0,33000
32.1,3.672,0.2413,4.5,13999
64.4,20.173,0.2794,12.0,19000
41.7,7.946,0.2286,6.0,18000
36.2,12.524,0.4191,12.0,7000
54.0,1.144,0.3048,9.0,6000
17.1,3.998,0.2032,4.5,16000
55.6,6.049,0.22352,9.25,18000
8.5,21.676,0.4572,6.0,9000
102.2,4.052,0.1524,3.0,37000
61.7,6.601,0.2032,4.0,24000
2.6,1.527,0.1778,4.0,15000
102.9,10.3,0.1778,6.5,26000
47.6,6.966,0.2413,4.5,19000
49.2,22.405,0.2794,4.5,22000
0.0,10.06,0.3048,6.0,12000
47.8,1.144,0.19812,7.0,10000
8.4,9.182,0.22225,9.25,22000
7.9,10.752,0.36576,12.0,8000
82.5,6.392,0.18796,7.5,22000
85.8,7.817,0.16002,4.0,37000
7.2,2.945,0.381,6.0,5000
66.2,50.382,0.508,18.0,10000
96.2,14.034,0.45974,10.0,10000
32.7,17.119,0.4064,14.0,9000
29.3,3.25,0.3556,8.5,6000
34.0,2.589,0.1651,6.5,21000
32.1,2.174,0.2159,7.0,12000
25.8,7.414,0.4318,12.0,5000
14.4,2.06,0.2032,6.0,10000
29.9,2.758,0.381,6.0,6000
17.2,3.721,0.381,10.0,5000
0.0,2.32,0.1651,6.0,20000
5.9,1.923,0.2286,4.5,9000
41.0,9.828,0.381,6.0,10000
9.2,2.977,0.508,8.0,3000
126.9,4.035,0.18796,7.5,22000
47.7,22.291,0.2794,5.5,20000
78.4,41.514,0.5334,13.5,9000
55.9,15.008,0.3302,10.0,12000
4.1,50.815,0.5334,10.0,9000
4.8,1.966,0.1524,6.0,20000
118.1,6.667,0.3556,7.0,13999
47.7,2.128,0.2159,7.25,12000
38.8,6.037,0.254,7.0,13000
15.1,1.037,0.22225,7.0,8000
3.2,2.086,0.1524,4.3,17000
5.0,20.028,0.254,4.7,20000
36.7,28.278,0.5334,13.5,7000
44.0,4.008,0.13335,4.75,36000
132.8,12.435,0.3556,13.0,12000
8.8,2.361,0.36576,10.5,4000
76.9,2.323,0.1524,4.5,24000
7.8,1.807,0.4318,8.0,3000
21.4,10.733,0.254,8.0,16000
21.8,1.042,0.1651,2.9,16000
71.0,3.584,0.19812,7.0,17000
51.8,42.357,0.4826,8.0,11000
180.3,3.949,0.127,4.6,44000
9.9,17.821,0.2794,6.0,18000
31.2,27.548,0.4064,11.0,11000
100.3,1.766,0.1778,4.0,26000
37.0,19.793,0.3048,6.0,17000
56.2,6.011,0.3429,9.0,9000
85.8,12.835,0.5588,10.0,8000
24.0,1.059,0.2032,4.0,10000
39.3,1.655,0.14478,3.0,24000
104.1,2.416,0.2286,4.0,22000
84.1,3.726,0.23495,5.75,18000
64.8,6.118,0.3302,10.0,9000
62.3,19.261,0.3556,13.5,12000
35.4,1.738,0.254,7.0,7000
35.4,6.101,0.23495,5.75,18000
12.1,30.967,0.381,10.0,13999
36.1,18.518,0.3048,6.5,15000
91.3,5.46,0.1778,6.0,23000
64.3,2.499,0.10668,4.0,43000
72.1,16.108,0.2286,7.5,24000
55.5,3.862,0.127,5.0,39000
56.9,31.659,0.4318,7.0,13000
9.0,20.627,0.3048,6.5,15000
45.5,10.377,0.2794,12.0,12000
112.9,2.925,0.254,9.0,13000
51.4,6.362,0.254,10.0,12000
99.7,4.365,0.2032,8.0,18000
136.7,13.185,0.2413,8.0,23000
137.2,1.16,0.3556,10.0,11000
48.7,2.563,0.1524,2.0,32000
25.6,1.843,0.127,4.3,23000
10.0,23.75,0.254,6.0,19000
28.5,8.919,0.3302,6.0,11000
22.5,3.636,0.22225,9.0,15000
112.0,2.224,0.23495,5.75,19000
61.1,1.742,0.111125,4.25,33000
23.3,1.797,0.3302,8.0,5000
13.1,9.826,0.381,7.0,8000
36.3,1.128,0.4318,8.0,4000
84.2,5.693,0.1778,5.0,26000
39.7,6.633,0.4064,11.0,6000
39.3,9.83,0.3048,11.0,11000
119.6,2.723,0.2286,6.0,17000
33.9,2.27,0.1778,4.0,17000
65.3,2.875,0.1651,6.5,22000
39.2,2.271,0.12065,5.5,34000
27.3,1.9,0.127,4.0,20000
51.4,2.27,0.508,18.0,3000
60.0,5.07,0.1651,3.7,30000
48.2,19.583,0.4826,16.0,7000
126.2,1.168,0.13335,4.75,28000
157.4,2.278,0.2032,7.0,22000
0.0,12.018,0.23495,5.5,24000
118.0,3.474,0.23495,5.75,21000
24.6,17.201,0.4318,12.0,8000
34.6,12.677,0.3302,4.7,12000
17.5,3.563,0.1524,5.0,28000
33.4,2.261,0.12065,4.5,34000
73.3,1.357,0.2286,4.0,16000
0.0,13.459,0.3302,10.0,11000
12.4,67.042,0.6604,13.0,7000
115.8,6.302,0.2032,9.0,20000
36.7,2.888,0.4572,11.0,4000
54.7,2.011,0.2794,7.0,9000
23.7,7.536,0.2794,12.0,10000
30.6,2.919,0.22352,9.5,13000
2.8,1.041,0.10668,2.0,30000
88.8,2.468,0.1524,5.0,25000
7.1,1.175,0.2032,6.0,9000
17.0,1.093,0.12954,4.5,17000
46.0,2.033,0.1651,2.9,24000
74.2,40.072,0.4318,10.0,13000
39.1,1.799,0.11938,4.2,30000
99.3,5.253,0.4191,12.0,8000
46.8,1.281,0.3937,12.0,4000
4.2,6.933,0.2286,6.0,13999
48.6,1.927,0.1778,5.0,16000
63.2,4.427,0.127,3.0,44000
0.0,3.936,0.3048,12.0,7000
12.9,2.492,0.2032,4.0,13999
35.1,2.264,0.12065,4.75,34000
27.9,5.003,0.3556,13.5,6000
0.0,1.128,0.4318,10.0,2000
42.2,12.314,0.3302,6.5,13000
21.2,2.249,0.3175,6.0,6000
10.9,1.738,0.1778,6.0,13000
61.9,4.909,0.2794,4.0,15000
29.7,39.453,0.4064,6.0,13999
75.2,4.109,0.3302,8.0,10000
32.9,3.539,0.3048,3.8,9000
51.7,5.104,0.18796,7.8,19000
98.1,6.241,0.1524,5.5,34000
69.6,42.244,0.508,8.0,11000
38.6,2.79,0.4318,6.0,6000
68.1,2.34,0.22225,7.5,12000
72.4,5.746,0.4445,18.0,5000
37.4,1.043,0.1778,3.0,17000
48.5,31.568,0.381,7.0,15000
51.0,5.216,0.254,4.5,15000
18.3,4.533,0.3302,4.5,9000
5.2,23.653,0.381,10.0,12000
92.6,9.732,0.4318,13.0,8000
41.2,3.989,0.19812,4.0,20000
61.7,3.39,0.12954,5.0,34000
41.4,1.578,0.1778,3.0,20000
55.8,2.483,0.1778,6.0,17000
61.8,30.858,0.4318,12.0,11000
153.0,4.145,0.3302,10.0,13999
84.2,14.536,0.508,18.0,6000
23.7,13.324,0.4318,8.0,8000
38.6,26.249,0.3556,7.0,15000
88.2,3.628,0.2286,4.5,19000
15.2,1.722,0.1778,5.0,13999
3.6,17.57,0.381,8.0,10000
53.2,8.433,0.3302,4.0,15000
0.0,6.466,0.1778,7.0,25000
91.2,4.425,0.2286,7.5,15000
57.4,8.865,0.127,4.3,45000
64.6,8.604,0.1778,4.0,30000
101.5,2.396,0.13335,6.25,28000
43.8,1.085,0.2286,9.0,7000
20.2,2.947,0.219075,3.75,15000
101.4,18.667,0.4064,8.0,13000
11.0,7.714,0.2794,6.0,10000
102.9,1.875,0.1778,6.0,21000
121.0,15.82,0.3302,11.0,13999
111.3,5.954,0.508,14.0,7000
6.0,3.092,0.23495,5.25,13000
20.8,6.727,0.2286,6.0,13999
6.5,4.552,0.127,4.5,34000
106.3,14.883,0.2413,8.0,23000
70.1,14.89,0.4572,12.0,8000
53.3,7.584,0.22225,9.25,20000
5.8,10.879,0.2794,11.0,13000
147.8,3.408,0.127,4.6,39000
123.8,8.738,0.22225,7.75,22000
91.0,2.167,0.1524,3.0,31000
38.4,1.902,0.3556,14.0,4000
15.1,1.611,0.1778,4.0,13999
50.6,1.667,0.254,6.0,10000
4.6,8.672,0.219075,3.75,24000
0.0,10.225,0.5207,12.0,4000
42.9,1.808,0.1397,4.5,23000
23.6,14.102,0.4826,11.0,6000
153.2,17.957,0.4572,11.0,13000
32.7,1.409,0.5207,10.0,3000
20.3,34.252,0.508,12.0,9000
117.0,9.06,0.3048,8.0,13999
55.5,7.058,0.4318,10.0,7000
37.5,34.672,0.4826,12.0,9000
59.4,13.378,0.3429,11.5,11000
37.5,2.837,0.2794,6.0,8000
79.2,4.044,0.22225,7.5,16000
133.4,1.397,0.381,10.0,11000
34.8,1.115,0.1778,6.0,11000
7.2,3.494,0.12954,5.0,36000
8.7,21.07,0.4064,10.0,10000
19.5,4.616,0.2286,8.5,13000
31.5,17.27,0.3556,8.5,12000
125.5,11.462,0.22225,7.5,25000
19.7,1.722,0.1778,6.0,13000
78.1,8.006,0.4318,4.0,13000
2.7,4.65,0.2667,6.0,10000
68.4,12.732,0.2794,9.0,15000
68.9,11.089,0.254,5.0,20000
64.7,4.915,0.127,4.0,33000
11.6,3.873,0.22352,9.25,15000
30.2,17.56,0.2794,11.0,17000
86.0,1.728,0.3048,11.0,8000
50.1,1.786,0.10668,2.0,44000
42.1,9.623,0.3302,10.0,10000
3.3,1.579,0.18796,7.7,11000
34.7,9.641,0.2159,5.5,24000
150.1,11.317,0.2794,7.0,21000
64.4,2.622,0.1905,2.5,26999
40.6,3.471,0.3048,11.0,7000
8.5,1.886,0.127,4.3,23000
88.1,4.855,0.1524,3.0,38000
18.4,1.321,0.22225,7.75,9000
27.1,4.246,0.3429,14.0,6000
142.8,4.116,0.22225,7.75,19000
81.8,2.562,0.3556,10.0,8000
56.3,3.602,0.508,11.0,5000
4.8,4.428,0.254,6.0,9000
74.2,31.208,0.4191,12.0,12000
75.6,1.416,0.4064,14.0,5000
24.1,2.747,0.3556,5.5,6000
54.6,1.935,0.3556,7.0,7000
86.9,1.357,0.12954,5.0,24000
66.8,1.961,0.3048,14.0,6000
18.2,15.28,0.3302,5.5,13000
23.7,2.74,0.2794,12.0,7000
12.4,6.268,0.3048,4.7,9000
6.4,5.094,0.1778,6.0,26000
11.0,2.598,0.23495,5.25,12000
38.0,6.645,0.3302,4.5,12000
11.3,6.25,0.4064,4.0,7000
5.9,19.961,0.508,8.0,7000
124.3,5.518,0.4572,14.0,8000
7.0,4.296,0.31115,3.75,9000
25.1,1.026,0.3302,4.0,6000
41.9,14.222,0.3048,11.5,13000
75.1,1.733,0.3048,9.0,8000
128.8,20.782,0.2794,12.0,19000
136.3,13.589,0.3302,13.5,13000
53.0,28.381,0.5588,12.0,7000
21.7,18.228,0.2794,7.0,18000
0.0,3.711,0.4318,8.0,4000
92.9,1.446,0.2286,6.0,13000
239.2,1.333,0.22225,7.75,25000
86.2,11.012,0.4064,8.0,11000
146.9,1.382,0.4191,14.0,9000
45.4,1.02,0.22225,7.5,8000
49.1,1.94,0.4953,11.5,4000
115.8,1.03,0.12065,4.75,28000
26.5,3.333,0.2032,4.0,16000
88.8,1.179,0.22225,8.75,11000
18.3,1.616,0.22225,5.0,9000
73.3,1.255,0.2413,8.0,10000
30.2,2.942,0.22352,9.25,13000
87.8,7.432,0.2286,6.0,20000
18.2,16.992,0.381,8.0,10000
35.7,2.921,0.22352,9.75,13000
3.3,9.642,0.23622,3.0,20000
5.0,69.445,0.5588,11.0,10000
27.3,2.423,0.2032,6.0,13000
92.6,8.693,0.1524,4.5,37000
13.7,2.877,0.2032,8.0,13999
23.8,7.935,0.3302,4.0,12000
62.7,1.714,0.2032,4.0,17000
7.1,5.934,0.3429,12.5,7000
76.3,4.555,0.3302,10.0,9000
8.1,5.512,0.3556,5.5,7000
15.8,1.576,0.2413,6.5,8000
13.8,7.558,0.2794,6.0,10000
42.3,1.967,0.2286,4.0,13000
68.0,20.776,0.2794,8.0,20000
