Model,Split,TrainFrac,R2,MAE,NTE,n_train,n_test,ModelFile,deg,ESI,MonotonicConsistency,PCE,n_train_small,n_train_big
RawML_linreg,B1_small_in,1.0,0.43102567464320996,4.6221290984852414,0.04544285488074525,144794.0,36199,RawML_linreg_B1_small_in.joblib,,,,,,
RawML_ridge,B1_small_in,1.0,0.43102544301679013,4.622094761320651,0.04544251729199464,144794.0,36199,RawML_ridge_B1_small_in.joblib,,,,,,
RawML_rf,B1_small_in,1.0,0.9803623515376408,0.6545354817592981,0.006435121191581196,144794.0,36199,RawML_rf_B1_small_in.joblib,,,,,,
RawML_linreg,B2_big_in,1.0,0.7368065377234638,507.70812890947303,0.05161014357226389,51408.0,12852,RawML_linreg_B2_big_in.joblib,,,,,,
RawML_ridge,B2_big_in,1.0,0.7368065005337429,507.70502778583847,0.05160982833319856,51408.0,12852,RawML_ridge_B2_big_in.joblib,,,,,,
RawML_rf,B2_big_in,1.0,0.9996856275499794,13.155926262362907,0.0013373416822871716,51408.0,12852,RawML_rf_B2_big_in.joblib,,,,,,
RawML_linreg,B7_mix_in,1.0,0.5986179044405504,290.40589080156946,0.029664207977440304,196202.0,49051,RawML_linreg_B7_mix_in.joblib,,,,,,
RawML_ridge,B7_mix_in,1.0,0.5986179046144429,290.4034943608248,0.029663963187238372,196202.0,49051,RawML_ridge_B7_mix_in.joblib,,,,,,
RawML_rf,B7_mix_in,1.0,0.9998236032556906,3.896320081372148,0.000397998983152431,196202.0,49051,RawML_rf_B7_mix_in.joblib,,,,,,
PhysicsOnly,B1_small_in,NA,1.0,6.520716236430009e-16,6.410897561206541e-18,,36199,,,,,,,
PhysicsOnly,B2_big_in,NA,1.0,1.0065401843956165e-13,1.0231800609435047e-17,,12852,,,,,,,
PhysicsOnly,B7_mix_in,NA,1.0,2.671717044705431e-14,2.729089614961274e-18,,49051,,,,,,,
PCFM_Base_poly2,B1_small_in,1.0,0.7234073122112146,2.659075224723101,0.026142923959799638,144794.0,36199,PCFM_Base_poly2_B1_small_in.joblib,2.0,8.287521754744606e-05,1.0,1.6044239336916352e-18,,
PCFM_Base_poly2,B2_big_in,1.0,0.6592524682149776,538.0135019507453,0.05469078097909563,51408.0,12852,PCFM_Base_poly2_B2_big_in.joblib,2.0,0.0,0.999526066350711,6.458376040969364e-18,,
PCFM_Base_poly2,B7_mix_in,1.0,0.507159094665166,225.50000247943376,0.023034239952914475,196202.0,49051,PCFM_Base_poly2_B7_mix_in.joblib,2.0,0.0,0.6109649624461474,2.9398807998002083e-18,,
PCFM_Base_poly3,B1_small_in,1.0,0.7232447612121744,2.6590693577481868,0.026142866278137382,144794.0,36199,PCFM_Base_poly3_B1_small_in.joblib,3.0,8.287521754744606e-05,0.9996748760464927,1.66693800243419e-18,,
PCFM_Base_poly3,B2_big_in,1.0,0.6593336770871824,537.9643568622392,0.054685785224784754,51408.0,12852,PCFM_Base_poly3_B2_big_in.joblib,3.0,0.0,1.0,6.3827889614061046e-18,,
PCFM_Base_poly3,B7_mix_in,1.0,0.502468906527495,226.23502863790682,0.023109320967192877,196202.0,49051,PCFM_Base_poly3_B7_mix_in.joblib,3.0,0.0,0.5772216122070349,2.9346466746153076e-18,,
PCFM_DS_poly2,B1_small_in,1.0,0.7234073122112146,2.659075224723101,0.026142923959799638,144794.0,36199,PCFM_DS_poly2_B1_small_in.joblib,2.0,8.287521754744606e-05,1.0,1.604160363451632e-18,144794.0,0.0
PCFM_DS_poly2,B2_big_in,1.0,0.6592524682149776,538.0135019507453,0.05469078097909563,51408.0,12852,PCFM_DS_poly2_B2_big_in.joblib,2.0,0.0,0.999526066350711,6.471333826037352e-18,0.0,51408.0
